,Country,Activity,Age,Fatal (Y/N),Age Group,Top Species,Arm Pts,Leg Pts,Body Pts,Head Pts,Total Pts
167,USA,Body surfing,50,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
168,AUSTRALIA,Surfing,24,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
169,USA,Swimming,6,N,Child,bull shark,0.0,20.0,0.0,0.0,20.0
170,USA,Fishing,23,N,Adult,nurse shark,0.0,0.0,0.0,0.0,0.0
171,AUSTRALIA,Surf skiing ,30,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
172,MEXICO,Free diving / spearfishing,46,N,Adult,bull shark,10.0,0.0,0.0,0.0,10.0
173,USA,Kayaking / Fishing,30,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
174,USA,Paddle boarding,15,N,Teenager,white shark,0.0,0.0,0.0,0.0,0.0
175,SOUTH AFRICA,Body boarding,20,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
176,AUSTRALIA,Kayaking,27,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
177,USA,Surfing,28,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
178,AUSTRALIA,Scuba diving,33,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
179,AUSTRALIA,Surfing,20,N,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
180,USA,Surfing,61,N,Adult,bull shark,10.0,0.0,0.0,100.0,110.0
181,AUSTRALIA,"Diving, feeding sharks",34,N,Adult,nurse shark,0.0,0.0,0.0,100.0,100.0
182,AUSTRALIA,Snorkeling,26,N,Adult,tiger shark,10.0,0.0,0.0,100.0,110.0
183,AUSTRALIA,Surfing,44,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
184,SOUTH AFRICA,Swimming,25,Y,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
185,USA,Surfing,53,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
186,AUSTRALIA,Spearfishing,34,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
187,AUSTRALIA,Surfing,51,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
188,USA,Surfing,27,N,Adult,white shark,10.0,0.0,0.0,100.0,110.0
189,AUSTRALIA,Diving,32,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
190,USA,Surfing,41,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
191,SOUTH AFRICA,Swimming,43,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
192,USA,Spearfishing,21,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
193,PAPUA NEW GUINEA,Kite Surfing,30,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
194,AUSTRALIA,Body boarding,21,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
195,SOUTH AFRICA,Surfing,49,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
196,USA,Wading,20,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
197,SEYCHELLES,Swimming or Snorkeling,30,Y,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
198,SOUTH AFRICA,Surfing,29,N,Adult,white shark,10.0,20.0,0.0,0.0,30.0
199,SOUTH AFRICA,Scuba diving,22,N,Adult,bull shark,10.0,20.0,0.0,0.0,30.0
200,USA,Playing in the surf,10,N,Child,bull shark,0.0,20.0,0.0,0.0,20.0
201,SOUTH AFRICA,Surfing,33,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
202,NEW CALEDONIA,Kite Boarding,15,Y,Teenager,tiger shark,0.0,20.0,0.0,0.0,20.0
203,USA,Spearfishing,32,N,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
204,AUSTRALIA,Surfing,48,N,Adult,bull shark,10.0,0.0,0.0,100.0,110.0
205,AUSTRALIA,Fishing,36,N,Adult,bull shark,10.0,0.0,0.0,0.0,10.0
206,AUSTRALIA,Diving for abalone,49,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
207,AUSTRALIA,Snorkeling,20,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
208,USA,Body boarding,19,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
209,AUSTRALIA,Surfing,22,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
210,USA,Surfing,29,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
211,SOUTH AFRICA,Swimming,29,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
212,AUSTRALIA,Surfing,31,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
213,USA,Kayak Fishing,45,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
